"","start_date","end_date","ybar","s","n","type","type_label"
"1",2023-12-03,2023-12-07,0.44,0.25,1500,"L","Likely Voters"
"2",2023-12-04,2023-12-06,0.41,0.24,1000,"R","Registered Voters"
"3",2023-12-04,2023-12-05,0.39,0.24,1000,"R","Registered Voters"
"4",2023-12-02,2023-12-05,0.39,0.24,1500,"A","All Adults"
"5",2023-11-29,2023-12-05,0.37,0.23,45000,"A","All Adults"
"6",2023-11-30,2023-12-04,0.41,0.24,1074,"A","All Adults"
"7",2023-12-01,2023-12-03,0.4,0.24,1017,"A","All Adults"
"8",2023-11-27,2023-12-03,0.38,0.24,3021,"A","All Adults"
"9",2023-11-29,2023-12-01,0.33,0.22,1464,"A","All Adults"
"10",2023-11-27,2023-12-01,0.38,0.24,2018,"R","Registered Voters"
"11",2023-11-27,2023-11-30,0.38,0.24,2000,"R","Registered Voters"
"12",2023-11-26,2023-11-30,0.44,0.25,1500,"L","Likely Voters"
"13",2023-11-01,2023-11-30,0.37,0.23,1795,"A","All Adults"
"14",2023-11-01,2023-11-30,0.36,0.23,620,"R","Registered Voters"
"15",2023-11-22,2023-11-28,0.38,0.24,45000,"A","All Adults"
"16",2023-11-22,2023-11-28,0.38,0.24,4003,"R","Registered Voters"
"17",2023-11-27,NA,0.4,0.24,1000,"R","Registered Voters"
"18",2023-11-26,2023-11-27,0.42,0.24,3200,"R","Registered Voters"
"19",2023-11-25,2023-11-27,0.41,0.24,1500,"A","All Adults"
"20",2023-11-24,2023-11-26,0.35,0.23,1001,"A","All Adults"
"21",2023-11-15,2023-11-21,0.44,0.25,1500,"L","Likely Voters"
"22",2023-11-15,2023-11-21,0.38,0.24,45000,"A","All Adults"
"23",2023-11-01,2023-11-21,0.37,0.23,1013,"A","All Adults"
"24",2023-11-18,2023-11-20,0.4,0.24,1500,"A","All Adults"
"25",2023-11-17,2023-11-20,0.37,0.23,1100,"A","All Adults"
"26",2023-11-17,2023-11-20,0.38,0.24,1475,"R","Registered Voters"
"27",2023-11-16,2023-11-20,0.43,0.25,1000,"L","Likely Voters"
"28",2023-11-15,2023-11-19,0.39,0.24,3017,"R","Registered Voters"
"29",2023-11-14,2023-11-17,0.39,0.24,1006,"L","Likely Voters"
"30",2023-11-15,2023-11-16,0.45,0.25,2851,"R","Registered Voters"
"31",2023-11-13,2023-11-14,0.39,0.24,1000,"R","Registered Voters"
"32",2023-11-11,2023-11-14,0.41,0.24,1500,"A","All Adults"
"33",2023-11-10,2023-11-14,0.44,0.25,1200,"A","All Adults"
"34",2023-11-10,2023-11-14,0.4,0.24,1000,"R","Registered Voters"
