Time,Sample Size,Approval Rate (unadjusted),Variance(estimated by p(1-p)),Source
Dec. 3-7,"1,500LV",44%,25%,Rasmussen Reports
Dec. 4-6,"1,000RV",41%,24%,Emerson College
Dec. 4-5,"1,000RV",39%,24%,RMG Research
Dec. 2-5,"1,500A",39%,24%,YouGov
Nov. 29-Dec. 5,"45,000A",37%,23%,Morning Consult
Nov. 30-Dec. 4,"1,074A",41%,24%,AP-NORC
Dec. 1-3,"1,017A",40%,24%,Ipsos
Nov. 27-Dec. 3,"3,021A",38%,24%,Big Village
Nov. 29-Dec. 1,"1,464A",33%,22%,TIPP Insights
Nov. 27-Dec. 1,"2,018RV",38%,24%,Harris Insights & Analytics
Nov. 27-30,"2,000RV",38%,24%,McLaughlin & Associates
Nov. 26-30,"1,500LV",44%,25%,Rasmussen Reports
Nov. 1-30,"1,795A",37%,23%,SSRS
Nov. 1-30,620RV,36%,23%,ActiVote
Nov. 22-28,"45,000A",38%,24%,Morning Consult
Nov. 22-28,"4,003RV",38%,24%,Harris Insights & Analytics
Nov. 27,"1,000RV",40%,24%,RMG Research
Nov. 26-27,"3,200RV",42%,24%,NewsNation
Nov. 25-27,"1,500A",41%,24%,YouGov
Nov. 24-26,"1,001A",35%,23%,Leger
Nov. 15-21,"1,500LV",44%,25%,Rasmussen Reports
Nov. 15-21,"45,000A",38%,24%,Morning Consult
Nov. 1-21,"1,013A",37%,23%,Gallup
Nov. 18-20,"1,500A",40%,24%,YouGov
Nov. 17-20,"1,100A",37%,23%,American Research Group
Nov. 17-20,"1,475RV",38%,24%,Emerson College
Nov. 16-20,"1,000LV",43%,25%,McLaughlin & Associates
Nov. 15-19,"3,017RV",39%,24%,Harris Insights & Analytics
Nov. 14-17,"1,006LV",39%,24%,Echelon Insights
Nov. 15-16,"2,851RV",45%,25%,Harris Insights & Analytics
Nov. 13-14,"1,000RV",39%,24%,RMG Research
Nov. 11-14,"1,500A",41%,24%,YouGov
Nov. 10-14,"1,200A",44%,25%,The Bullfinch Group
Nov. 10-14,"1,000RV",40%,24%,Hart Research Associates/Public Opinion Strategies
Nov. 8-14,"1,500LV",44%,25%,Rasmussen Reports
Nov. 8-14,"45,000A",38%,24%,Morning Consult
Nov. 10-13,"1,001RV",40%,24%,Beacon Research/Shaw & Co. Research
Nov. 9-13,"1,584A",38%,24%,YouGov
Nov. 9-13,"1,743A",36%,23%,Quinnipiac University
Nov. 1-11,"10,000A",38%,24%,Lord Ashcroft Polls
