"","politician","polltype","subgroup","start_date","end_date","pollster_rating_name","sample_size","raw_sample_size","population","weight","approve","disapprove","approve_adjusted","disapprove_adjusted","tracking","url","poll_id","question_id","created_at","timestamp","pollster_rating_id","subpopulation"
"1","Donald Trump",NA,NA,"1/16/21","1/19/21","YouGov",1500,NA,"a",NA,42,53,NA,NA,NA,"https://docs.cdn.yougov.com/y9zsit5bzd/weeklytrackingreport.pdf",74225,139304,"1/20/21 10:18",NA,391,NA
"2","Donald Trump",NA,NA,"1/16/21","1/19/21","YouGov",1155,NA,"rv",NA,44,55,NA,NA,NA,"https://docs.cdn.yougov.com/y9zsit5bzd/weeklytrackingreport.pdf",74225,139305,"1/20/21 10:18",NA,391,NA
"3","Donald Trump",NA,NA,"1/16/21","1/19/21","American Research Group",1100,NA,"a",NA,30,66,NA,NA,NA,"https://americanresearchgroup.com/economy/",74226,139306,"1/20/21 10:18",NA,9,NA
"4","Donald Trump",NA,NA,"1/16/21","1/19/21","American Research Group",990,NA,"rv",NA,29,67,NA,NA,NA,"https://americanresearchgroup.com/economy/",74226,139307,"1/20/21 10:18",NA,9,NA
"5","Donald Trump",NA,NA,"1/15/21","1/19/21","AtlasIntel",5188,NA,"a",NA,44.6,53.9,NA,NA,NA,"https://projects.fivethirtyeight.com/polls/20210119_US_Atlas2.pdf",74224,139298,"1/19/21 21:52",NA,546,NA
"6","Donald Trump",NA,NA,"1/15/21","1/19/21","Morning Consult",2200,NA,"a",NA,36,58,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/27115240/210163_crosstabs_MC_ENTERTAINMENT_CELEBRITY_MASKS_Adults_v1.pdf",74265,139476,"1/28/21 09:05",NA,218,NA
"7","Donald Trump",NA,NA,"1/13/21","1/19/21","Morning Consult",31920,NA,"rv",NA,35,59,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/",74244,139391,"1/21/21 10:32",NA,218,NA
"8","Donald Trump",NA,NA,"1/15/21","1/18/21","Morning Consult",2200,NA,"a",NA,36,61,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/21115528/210156_crosstabs_BRAND_STATEMENTS_Adults_v1_AUTO.pdf",74245,139392,"1/21/21 15:47",NA,218,NA
"9","Donald Trump",NA,NA,"1/14/21","1/18/21","Rasmussen Reports",1500,NA,"lv",NA,51,48,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74221,139287,"1/19/21 09:13",NA,277,NA
"10","Donald Trump",NA,NA,"1/12/21","1/18/21","Morning Consult",31920,NA,"rv",NA,35,59,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/",74243,139390,"1/21/21 10:32",NA,218,NA
"11","Donald Trump",NA,NA,"1/15/21","1/17/21","Quinnipiac University",1131,NA,"rv",NA,34,61,NA,NA,NA,"https://poll.qu.edu/poll-release?releaseid=3732",74214,139262,"1/18/21 14:24",NA,267,NA
"12","Donald Trump",NA,NA,"1/15/21","1/17/21","Morning Consult",1993,NA,"rv",NA,39,58,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/19074756/210162_crosstabs_POLITICO_RVs_v3_IMPEACHMENT.pdf",74218,139267,"1/19/21 08:56",NA,218,NA
"13","Donald Trump",NA,NA,"1/15/21","1/17/21","Morning Consult",2201,NA,"a",NA,39,57,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/28161647/210162_crosstabs_MC_ENTERTAINMENT_PEACOCK_Adults_v1-1.pdf",74278,139501,"1/29/21 09:18",NA,218,NA
"14","Donald Trump",NA,NA,"1/12/21","1/17/21","Rasmussen Reports",1500,NA,"lv",NA,48,51,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74213,139261,"1/18/21 09:20",NA,277,NA
"15","Donald Trump",NA,NA,"1/11/21","1/17/21","Morning Consult",31920,NA,"rv",NA,35,59,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/",74242,139389,"1/21/21 10:32",NA,218,NA
"16","Donald Trump",NA,NA,"1/10/21","1/16/21","Morning Consult",31920,NA,"rv",NA,35,59,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/",74241,139388,"1/21/21 10:31",NA,218,NA
"17","Donald Trump",NA,NA,"1/13/21","1/15/21","YouGov",2166,NA,"a",NA,41,59,NA,NA,NA,"https://drive.google.com/file/d/1H3uFRD7X0QttkZ26bccmlQVkbS-63uGj/view",74210,139250,"1/17/21 13:06",NA,391,NA
"18","Donald Trump",NA,NA,"1/12/21","1/15/21","Suffolk University",1000,NA,"rv",NA,40.9,53.6,NA,NA,NA,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2021/1-17-2021-national-poll-with-usa-today-crosstabs.pdf",74211,139251,"1/17/21 13:19",NA,323,NA
